frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,_ws.col.protocol
"1766041611.573979194",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.575410653",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.577199794",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.578489152","192.168.1.8","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.582162416","192.168.1.5","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.644045523",,,"2603:8000:6900:600::70","2a06:98c1:310b::ac40:9bd1","36200","443",,,"TCP"
"1766041611.668953391","192.168.1.10","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.671071071",,,"fe80::1877:5fb7:298a:8209","ff02::fb",,,"5353","5353","MDNS"
"1766041611.673051905","192.168.1.8","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.675220047",,,"fe80::5607:7dff:fe40:f9bd","ff02::1",,,,,"ICMPv6"
"1766041611.676008122","192.168.1.18","162.247.243.29",,,"52518","443",,,"TCP"
"1766041611.684030102",,,"fe80::9290:4d9:c8ba:a3b5","ff02::16",,,,,"ICMPv6"
"1766041611.687261282","192.168.1.16","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.699491532",,,"fe80::4a9e:bdff:fe87:22f4","ff02::fb",,,"5353","5353","MDNS"
"1766041611.709528307","192.168.1.16","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.719752615",,,"fe80::4a9e:bdff:fe87:22f4","ff02::fb",,,"5353","5353","MDNS"
"1766041611.772130352",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041611.964035108","192.168.1.18","162.247.243.29",,,"52530","443",,,"TCP"
"1766041612.078070881","192.168.1.3","255.255.255.255",,,,,"52346","6667","UDP"
"1766041612.092077199","192.168.1.18","162.247.243.29",,,"59686","443",,,"TCP"
"1766041612.288244108",,,"2603:8000:6900:600::70","2a06:98c1:3107::6812:2715","58100","443",,,"TLSv1.2"
"1766041612.531992406",,,"2603:8000:6900:600::70","2a06:98c1:3107::6812:2715","58100","443",,,"TCP"
"1766041612.544000253",,,"fe80::9290:4d9:c8ba:a3b5","ff02::16",,,,,"ICMPv6"
"1766041612.603992703",,,"2603:8000:6900:600::70","2a06:98c1:310b::ac40:9bd1","36200","443",,,"TCP"
"1766041612.700001276","192.168.1.18","162.247.243.29",,,"52518","443",,,"TCP"
"1766041612.775996189",,,"2603:8000:6900:600::70","2a06:98c1:3107::6812:2715","58100","443",,,"TCP"
"1766041612.992018424","192.168.1.18","162.247.243.29",,,"52530","443",,,"TCP"
"1766041613.276066701",,,"2603:8000:6900:600::70","2a06:98c1:3107::6812:2715","58100","443",,,"TCP"
"1766041613.724033059","192.168.1.18","162.247.243.29",,,"52518","443",,,"TCP"
"1766041614.012049565","192.168.1.18","162.247.243.29",,,"52530","443",,,"TCP"
"1766041614.268030111",,,"2603:8000:6900:600::70","2a06:98c1:3107::6812:2715","58100","443",,,"TCP"
"1766041614.524058859",,,"2603:8000:6900:600::70","2a06:98c1:310b::ac40:9bd1","36200","443",,,"TCP"
"1766041614.638791838",,,"fe80::5607:7dff:fe40:f9bd","ff02::1",,,,,"ICMPv6"
"1766041614.648129972",,,"fe80::9290:4d9:c8ba:a3b5","ff02::16",,,,,"ICMPv6"
"1766041615.356074805",,,"fe80::9290:4d9:c8ba:a3b5","ff02::16",,,,,"ICMPv6"
"1766041615.548127628",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041615.744089621","192.168.1.18","162.247.243.29",,,"52518","443",,,"TCP"
"1766041615.804021671","192.168.1.18","162.247.243.29",,,"59686","443",,,"TCP"
"1766041616.028019222","192.168.1.18","162.247.243.29",,,"52530","443",,,"TCP"
"1766041616.220091110",,,"2603:8000:6900:600::70","2a06:98c1:3107::6812:2715","58100","443",,,"TCP"
"1766041616.316010714",,,"2603:8000:6900:600::70","2600:1900:4110:86f::","48610","80",,,"TCP"
"1766041617.043411595","192.168.1.3","255.255.255.255",,,,,"52346","6667","UDP"
"1766041617.709975235",,,"fe80::5607:7dff:fe40:f9bd","ff02::1",,,,,"ICMPv6"
"1766041617.720127965",,,"fe80::9290:4d9:c8ba:a3b5","ff02::16",,,,,"ICMPv6"
"1766041618.108069213",,,"fe80::9290:4d9:c8ba:a3b5","ff02::16",,,,,"ICMPv6"
"1766041618.364037604",,,"2603:8000:6900:600::70","2a06:98c1:310b::ac40:9bd1","36200","443",,,"TCP"
"1766041619.900071672","192.168.1.18","162.247.243.29",,,"52518","443",,,"TCP"
"1766041619.956739069",,,"2603:8000:6900:600::70","2607:f8b0:4007:80e::2004",,,"59896","443","UDP"
"1766041619.960854909",,,,,,,,,"ARP"
"1766041619.960906106",,,,,,,,,"ARP"
"1766041620.036381053",,,"2603:8000:6900:600::70","2607:f8b0:4007:80e::2004",,,"59896","443","UDP"
"1766041620.156106909",,,"2603:8000:6900:600::70","2a06:98c1:3107::6812:2715","58100","443",,,"TCP"
"1766041620.160012030","192.168.1.18","162.247.243.29",,,"52530","443",,,"TCP"
